Country,Lyssavirus Free,Rabies Virus Free,Canine (Dog) Rabies Free,Robust National Rabies Surveillance,Robust National Rabies Control Program Implemented,Vaccine Availability,RIG Availability
Afghanistan,No,No,No,No,No,Not Readily Available,Not Readily Available
Albania,No,No,Yes,No,No (Unknown),Available,Limited Availability
Algeria,No,No,No,No,No,Limited Availability,Limited Availability
American Samoa,No,No,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Andorra,No,Yes,Yes,No (Unknown),No (Unknown),Available,Not Readily Available
Angola,No,No,No,No,No,Limited Availability,Not Readily Available
Anguilla (U.K.),No,No,Yes,No (Unknown),Yes,Limited Availability,Not Readily Available
Antarctica,Yes,Yes,Yes,No (Unknown),No,Not Readily Available,Not Readily Available
Antigua and Barbuda,No,No,Yes,No (Unknown),Yes,Limited Availability,Not Readily Available
Argentina,No,No,Yes,No,Yes,Available,Limited Availability
Armenia,No,No,No,No (Unknown),No (Unknown),Limited Availability,Not Readily Available
Aruba,No,No,Yes,No (Unknown),Yes,Available,Limited Availability
Australia,No,Yes,Yes,Yes,Yes,Available,Available
Austria,No,Yes,Yes,Yes,Yes,Available,Available
Azerbaijan,No,No,No,No,No (Unknown),Limited Availability,Not Readily Available
Azores,No,Yes,Yes,No (Unknown),No (Unknown),Available,Not Readily Available
"Bahamas, The",No,No,Yes,No (Unknown),Yes,Available,Limited Availability
Bahrain,No,Yes,Yes,Yes,Yes,Limited Availability,Limited Availability
Bangladesh,No,No,No,No,No,Available,Limited Availability
Barbados,No,No,Yes,No (Unknown),Yes,Limited Availability,Not Readily Available
Belarus,No,No,No,No,No,Available,Limited Availability
Belgium,No,Yes,Yes,Yes,Yes,Limited Availability,Available
Belize,No,No,No,No,No,Limited Availability,Not Readily Available
Benin,No,No,No,No,No,Limited Availability,Not Readily Available
Bermuda (U.K.),No,No,Yes,No (Unknown),Yes,Available,Limited Availability
Bhutan,No,No,No,Yes,Yes,Limited Availability,Available
Bolivia,No,No,No,No,No,Limited Availability,Not Readily Available
Bosnia and Herzegovina,No,No,Yes,Yes,Yes,Available,Limited Availability
Botswana,No,No,No,No,No,Limited Availability,Limited Availability
Brazil,No,No,No,Yes,No,Available,Limited Availability
British Indian Ocean Territory (U.K.),No,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Not Readily Available
Brunei,No,No,Yes,No (Unknown),No,Available,Available
Bulgaria,No,Yes,Yes,Yes,No (Unknown),Available,Limited Availability
Burkina Faso,No,No,No,No,No,Limited Availability,Limited Availability
Burma (Myanmar),No,No,No,No,No,Limited Availability,Not Readily Available
Burundi,No,No,No,No,No,Limited Availability,Limited Availability
Cambodia,No,No,No,No,No,Available,Limited Availability
Cameroon,No,No,No,No,No,Limited Availability,Not Readily Available
Canada,No,No,Yes,Yes,Yes,Available,Available
Canary Islands (Spain),No,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Cape Verde,No,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Cayman Islands (U.K.),No,No,Yes,No (Unknown),Yes,Available,Limited Availability
Central African Republic,No,No,No,No,No,Limited Availability,Not Readily Available
Chad,No,No,No,No,No,Limited Availability,Not Readily Available
Chile,No,No,Yes,Yes,Yes,Available,Limited Availability
China,No,No,No,No,No,Available,Available
Christmas Island (Australia),Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Cocos (Keeling) Islands (Australia),Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Colombia,No,No,No,No,No,Available,Not Readily Available
Comoros,No,No,No,No (Unknown),No (Unknown),Limited Availability,Limited Availability
"Congo, Republic of the",No,No,No,No,No,Limited Availability,Not Readily Available
Cook Islands (New Zealand),Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Costa Rica,No,No,Yes,No,Yes,Limited Availability,Not Readily Available
Côte d'Ivoire (Ivory Coast),No,No,No,No,No,Limited Availability,Limited Availability
Croatia,No,Yes,Yes,Yes,No (Unknown),Available,Limited Availability
Cuba,No,No,No,No,No,Available,Limited Availability
Cyprus,No,Yes,Yes,No,No (Unknown),Limited Availability,Limited Availability
Czech Republic,No,Yes,Yes,Yes,Yes,Available,Available
Democratic Republic of the Congo,No,No,No,No,No,Limited Availability,Not Readily Available
Denmark,No,Yes,Yes,Yes,Yes,Available,Available
Djibouti,No,No,No,No,No,Limited Availability,Limited Availability
Dominica,No,No,Yes,No (Unknown),Yes,Limited Availability,Not Readily Available
Dominican Republic,No,No,No,No,No,Limited Availability,Not Readily Available
Easter Island (Chile),Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Ecuador,No,No,No,No,Yes,Limited Availability,Not Readily Available
Egypt,No,No,No,No,No,Limited Availability,Limited Availability
