Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2005,Jul-Dec 2005,Africa,Algeria,"Algeria","Rabies virus (Inf. with)","",Both animal categories,"",-,-,398,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Algeria,"Algeria","Rabies virus (Inf. with)","",Domestic,"Cats",-,-,-,186,Animal,19,8,0,12,-
2005,Jul-Dec 2005,Africa,Algeria,"Algeria","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,929,Animal,125,46,23,56,-
2005,Jul-Dec 2005,Africa,Algeria,"Algeria","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,609,Animal,190,99,0,110,-
2005,Jul-Dec 2005,Africa,Algeria,"Algeria","Rabies virus (Inf. with)","",Domestic,"Equidae",-,-,-,93,Animal,47,19,9,20,-
2005,Jul-Dec 2005,Africa,Algeria,"Algeria","Rabies virus (Inf. with)","",Domestic,"Goats",-,-,-,634,Animal,22,9,6,7,-
2005,Jul-Dec 2005,Africa,Algeria,"Algeria","Rabies virus (Inf. with)","",Domestic,"Sheep",-,-,-,7436,Animal,24,12,6,6,-
2005,Jul-Dec 2005,Africa,Algeria,"Algeria","Rabies virus (Inf. with)","",Wild,"Wildlife (species unspecified)",-,-,-,-,Animal,1,1,0,0,-
2005,Jul-Dec 2005,Africa,Angola,"Huila","Rabies virus (Inf. with)","",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Angola,"Huila","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,412,Animal,8,0,0,8,404
2005,Jul-Dec 2005,Africa,Botswana,"Francistown (2005-2010)","Rabies virus (Inf. with)","",Both animal categories,"",-,-,8,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Botswana,"Francistown (2005-2010)","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,111,Animal,3,-,0,3,-
2005,Jul-Dec 2005,Africa,Botswana,"Francistown (2005-2010)","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,18,Animal,9,-,0,7,-
2005,Jul-Dec 2005,Africa,Botswana,"Francistown (2005-2010)","Rabies virus (Inf. with)","",Domestic,"Goats",-,-,-,148,Animal,8,-,0,7,-
2005,Jul-Dec 2005,Africa,Botswana,"Gaborone (2005-2010)","Rabies virus (Inf. with)","",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Botswana,"Gaborone (2005-2010)","Rabies virus (Inf. with)","",Domestic,"Cats",-,-,-,2,Animal,1,-,0,1,10
2005,Jul-Dec 2005,Africa,Botswana,"Gaborone (2005-2010)","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,2,Animal,1,-,-,1,1
2005,Jul-Dec 2005,Africa,Botswana,"Ghanzi (2005-2010)","Rabies virus (Inf. with)","",Both animal categories,"",-,-,3,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Botswana,"Ghanzi (2005-2010)","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,419,Animal,1,-,0,1,-
2005,Jul-Dec 2005,Africa,Botswana,"Ghanzi (2005-2010)","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,3,Animal,2,-,0,1,-
2005,Jul-Dec 2005,Africa,Botswana,"Ghanzi (2005-2010)","Rabies virus (Inf. with)","",Domestic,"Goats",-,-,-,2,Animal,1,-,0,1,-
2005,Jul-Dec 2005,Africa,Botswana,"Mahalapye (2005-2010)","Rabies virus (Inf. with)","",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Botswana,"Mahalapye (2005-2010)","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,7,Animal,2,-,0,1,-
2005,Jul-Dec 2005,Africa,Botswana,"Maun (2005-2010)","Rabies virus (Inf. with)","",Both animal categories,"",-,-,3,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Botswana,"Maun (2005-2010)","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,4,Animal,2,-,0,2,937
2005,Jul-Dec 2005,Africa,Botswana,"Maun (2005-2010)","Rabies virus (Inf. with)","",Domestic,"Goats",-,-,-,24,Animal,1,-,0,1,35
2005,Jul-Dec 2005,Africa,Botswana,"Selibe Phikwe (2005-2010)","Rabies virus (Inf. with)","",Both animal categories,"",-,-,5,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Botswana,"Selibe Phikwe (2005-2010)","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,34,Animal,2,-,-,2,-
2005,Jul-Dec 2005,Africa,Botswana,"Selibe Phikwe (2005-2010)","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,6,Animal,4,-,0,3,-
2005,Jul-Dec 2005,Africa,Botswana,"Selibe Phikwe (2005-2010)","Rabies virus (Inf. with)","",Domestic,"Goats",-,-,-,93,Animal,1,-,-,1,-
2005,Jul-Dec 2005,Africa,Burkina Faso,"Burkina Faso","Rabies virus (Inf. with)","",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Burkina Faso,"Burkina Faso","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,77,Animal,2,0,0,2,0
2005,Jul-Dec 2005,Africa,Burundi,"Burundi","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,-,Animal,12,-,-,-,-
2005,Jul-Dec 2005,Africa,Eritrea,"Serejeka","Rabies virus (Inf. with)","",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Eritrea,"Serejeka","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,105,Animal,2,0,0,2,600
2005,Jul-Dec 2005,Africa,Eswatini,"Hhohho","Rabies virus (Inf. with)","",Both animal categories,"",-,-,4,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Eswatini,"Hhohho","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,1194,Animal,1,0,0,1,10
2005,Jul-Dec 2005,Africa,Eswatini,"Hhohho","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,-,Animal,-,0,0,-,16
2005,Jul-Dec 2005,Africa,Eswatini,"Lubombo","Rabies virus (Inf. with)","",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Eswatini,"Lubombo","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,-,Animal,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Eswatini,"Manzini","Rabies virus (Inf. with)","",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Eswatini,"Manzini","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,1194,Animal,1,0,0,1,20
2005,Jul-Dec 2005,Africa,Eswatini,"Manzini","Rabies virus (Inf. with)","",Domestic,"Goats",-,-,-,120,Animal,1,1,0,0,39
2005,Jul-Dec 2005,Africa,Ethiopia,"Ethiopia","Rabies virus (Inf. with)","",Both animal categories,"",-,-,17,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Ethiopia,"Ethiopia","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,2500,Animal,5,0,0,5,0
2005,Jul-Dec 2005,Africa,Ethiopia,"Ethiopia","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,3360,Animal,37,10,0,27,3000
2005,Jul-Dec 2005,Africa,Ethiopia,"Ethiopia","Rabies virus (Inf. with)","",Domestic,"Equidae",-,-,-,1300,Animal,4,0,0,4,0
2005,Jul-Dec 2005,Africa,Ethiopia,"Ethiopia","Rabies virus (Inf. with)","",Domestic,"Sheep/goats (mixed herd)",-,-,-,4900,Animal,10,4,0,9,0
2005,Jul-Dec 2005,Africa,Ghana,"Brong-Ahafo","Rabies virus (Inf. with)","",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Africa,Ghana,"Brong-Ahafo","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,47,Animal,1,0,0,1,1075
2005,Jul-Dec 2005,Africa,Ghana,"Central","Rabies virus (Inf. with)","",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
