Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2005,Jul-Dec 2005,Americas,Argentina,"Santiago Del Estero","Rabies virus (Inf. with)","",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Americas,Argentina,"Santiago Del Estero","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,268,Animal,1,0,0,1,-
2005,Jul-Dec 2005,Americas,Argentina,"Tucuman","Rabies virus (Inf. with)","",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Americas,Argentina,"Tucuman","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,19,Animal,1,0,0,1,-
2005,Jul-Dec 2005,Americas,Belize,"Cayo","Rabies virus (Inf. with)","",Both animal categories,"",-,-,5,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Americas,Belize,"Cayo","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,-,Animal,5,0,0,5,0
2005,Jul-Dec 2005,Americas,Belize,"Orange Walk","Rabies virus (Inf. with)","",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Americas,Belize,"Orange Walk","Rabies virus (Inf. with)","",Wild,"Wildlife (species unspecified)",-,-,-,-,Animal,1,0,0,1,0
2005,Jul-Dec 2005,Americas,Bolivia,"Beni","Rabies virus (Inf. with)","",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Americas,Bolivia,"Beni","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,800,Animal,1,0,1,1,450
2005,Jul-Dec 2005,Americas,Bolivia,"Chuquisaca","Rabies virus (Inf. with)","",Both animal categories,"",-,-,7,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Americas,Bolivia,"Chuquisaca","Rabies virus (Inf. with)","",Domestic,"Cats",-,-,-,-,Animal,1,0,0,1,150
2005,Jul-Dec 2005,Americas,Bolivia,"Chuquisaca","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,48000,Animal,6,0,0,6,17600
2005,Jul-Dec 2005,Americas,Bolivia,"Cochabamba","Rabies virus (Inf. with)","",Both animal categories,"",-,-,30,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Americas,Bolivia,"Cochabamba","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,80800,Animal,30,0,1,30,22700
2005,Jul-Dec 2005,Americas,Bolivia,"La Paz","Rabies virus (Inf. with)","",Both animal categories,"",-,-,30,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Americas,Bolivia,"La Paz","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,120000,Animal,30,0,0,30,55150
2005,Jul-Dec 2005,Americas,Bolivia,"Oruro","Rabies virus (Inf. with)","",Both animal categories,"",-,-,24,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Americas,Bolivia,"Oruro","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,19000,Animal,24,0,0,24,11030
2005,Jul-Dec 2005,Americas,Bolivia,"Potosi","Rabies virus (Inf. with)","",Both animal categories,"",-,-,6,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Americas,Bolivia,"Potosi","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,21000,Animal,9,0,1,9,12380
2005,Jul-Dec 2005,Americas,Brazil,"Acre","Rabies virus (Inf. with)","",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Americas,Brazil,"Acre","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,-,Animal,6,0,0,6,-
2005,Jul-Dec 2005,Americas,Brazil,"Alagoas","Rabies virus (Inf. with)","",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Americas,Brazil,"Alagoas","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,-,Animal,1,0,0,1,-
2005,Jul-Dec 2005,Americas,Brazil,"Alagoas","Rabies virus (Inf. with)","",Domestic,"Sheep",-,-,-,-,Animal,1,0,0,1,-
2005,Jul-Dec 2005,Americas,Brazil,"Amapa","Rabies virus (Inf. with)","",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Americas,Brazil,"Amapa","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,-,Animal,2,0,0,2,-
2005,Jul-Dec 2005,Americas,Brazil,"Bahia","Rabies virus (Inf. with)","",Both animal categories,"",-,-,9,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Americas,Brazil,"Bahia","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,-,Animal,8,0,0,8,-
2005,Jul-Dec 2005,Americas,Brazil,"Bahia","Rabies virus (Inf. with)","",Wild,"Wildlife (species unspecified)",-,-,-,-,Animal,1,0,0,1,-
