Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2005,Jul-Dec 2005,Asia,Armenia,"Armenia","Rabies virus (Inf. with)","",Domestic,"Cats",-,-,-,-,Animal,3,-,-,-,-
2005,Jul-Dec 2005,Asia,Armenia,"Armenia","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,-,Animal,2,-,-,-,-
2005,Jul-Dec 2005,Asia,Armenia,"Armenia","Rabies virus (Inf. with)","",Domestic,"Sheep",-,-,-,-,Animal,1,-,-,-,-
2005,Jul-Dec 2005,Asia,Armenia,"Armenia","Rabies virus (Inf. with)","",Wild,"Wildlife (species unspecified)",-,-,-,-,Animal,2,-,-,-,-
2005,Jul-Dec 2005,Asia,Azerbaijan,"Azerbaijan","Rabies virus (Inf. with)","",Both animal categories,"",-,-,8,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,Azerbaijan,"Azerbaijan","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,3,Animal,3,0,0,3,0
2005,Jul-Dec 2005,Asia,Azerbaijan,"Azerbaijan","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,27391,Animal,2,0,0,2,27389
2005,Jul-Dec 2005,Asia,Azerbaijan,"Azerbaijan","Rabies virus (Inf. with)","",Wild,"Wildlife (species unspecified)",-,-,-,-,Animal,3,0,0,3,0
2005,Jul-Dec 2005,Asia,Bhutan,"Sarpang","Rabies virus (Inf. with)","",Both animal categories,"",-,-,4,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,Bhutan,"Sarpang","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,-,Animal,2,0,0,2,-
2005,Jul-Dec 2005,Asia,Bhutan,"Sarpang","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,-,Animal,2,0,0,2,-
2005,Jul-Dec 2005,Asia,Bhutan,"Trashigang","Rabies virus (Inf. with)","",Both animal categories,"",-,-,3,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,Bhutan,"Trashigang","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,-,Animal,22,0,0,9,-
2005,Jul-Dec 2005,Asia,Bhutan,"Trashigang","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,-,Animal,9,4,-,-,424
2005,Jul-Dec 2005,Asia,China (People's Rep. of),"Anhui","Rabies virus (Inf. with)","",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),"Anhui","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,-,Animal,4,49,-,0,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),"Guangdong","Rabies virus (Inf. with)","",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),"Guangdong","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,-,Animal,1,1,-,0,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),"Guangxi","Rabies virus (Inf. with)","",Both animal categories,"",-,-,21,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),"Guangxi","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,-,Animal,27,308,-,9,-
2005,Jul-Dec 2005,Asia,China (People's Rep. of),"Guizhou","Rabies virus (Inf. with)","",Both animal categories,"",-,-,14,-,-,-,-,-,-,-
