OBJECTID,Animal_Lab_ID,Event,Date,LinkToTest,OpenLink,LinkToMre,LinkMoreOpen,Year,SpeciesNameEng,RegionEng,RegionHeb,SpeciesNameHeb,Species,SettlementHeb,SettlementEng,LocationNotSettlementEng,LocationNotSettlementHeb,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
768,A00539433,54.0,2025-07-27,https://www.gov.il/BlobFolder/reports/rabies-in-kdumim_54-date-27-7-2025/he/rabies-in-kdumim-number-54-date-27-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabies-in-kdumim_54-date-27-7-2025/he/rabies-in-kdumim-number-54-date-27-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",https://www.gov.il/BlobFolder/reports/rabies-in-kdumim_54-date-27-7-2025/he/rabies-in-kdumim_report_54-date-27-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabies-in-kdumim_54-date-27-7-2025/he/rabies-in-kdumim_report_54-date-27-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",2025,Dog,Hasharon,השרון,כלב,VII A,קדומים,Qedumim,,,605be87a-9aef-40d8-9ff6-72f739bfe6e2,2025-07-28 06:58:55.819000,vet1,2025-07-28 06:58:55.819000,vet1,35.16559740478527,32.225593040251724
767,A00539331,53.0,2025-07-24,https://www.gov.il/BlobFolder/reports/rabies_in_alma_report_53_date_24-7-2025/he/rabies_in_alma_report_53_date_24-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabies_in_alma_report_53_date_24-7-2025/he/rabies_in_alma_report_53_date_24-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",https://www.gov.il/BlobFolder/reports/rabies_in_alma_report_53_date_24-7-2025/he/rabies-in-alma-number-53-date-24-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabies_in_alma_report_53_date_24-7-2025/he/rabies-in-alma-number-53-date-24-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",2025,Cattle,Galil Golan,גליל גולן,בקר,VII B,עלמה,Alma,,,d277aab1-e0e7-4dfa-9146-505cd4976b28,2025-07-24 14:06:15.407000,vet1,2025-07-24 14:06:15.407000,vet1,35.50435678839121,33.05009497858657
765,A00539186,51.0,2025-07-23,https://www.gov.il/BlobFolder/reports/rabis-in-yasur-51-date-23-7-2025/he/rabis-in-yasur-51-date-23-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabis-in-yasur-51-date-23-7-2025/he/rabis-in-yasur-51-date-23-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",https://www.gov.il/BlobFolder/reports/rabis-in-yasur-51-date-23-7-2025/he/rabies-in-yasur-number-51-date23-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabis-in-yasur-51-date-23-7-2025/he/rabies-in-yasur-number-51-date23-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",2025,Cat,Galil Maaravi,גליל מערבי,חתול,VII B,שלומי,Shelomi,,,0c013fd8-7fc7-4ee2-8c87-0e9d30fc6179,2025-07-24 08:59:24.630000,vet1,2025-07-24 09:03:55.360000,vet1,35.1526306401977,33.07813303020709
766,A00539186,51.0,2025-07-23,https://www.gov.il/BlobFolder/reports/rabis-in-yasur-51-date-23-7-2025/he/rabis-in-yasur-51-date-23-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabis-in-yasur-51-date-23-7-2025/he/rabis-in-yasur-51-date-23-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",https://www.gov.il/BlobFolder/reports/rabis-in-yasur-51-date-23-7-2025/he/rabies_in_liman_number_51_date_23-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabis-in-yasur-51-date-23-7-2025/he/rabies_in_liman_number_51_date_23-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",2025,Dog,Galil Maaravi,גליל מערבי,כלב,VII B,לימן,Liman,,,7deeac7f-25d4-4663-877c-cc2f719fac88,2025-07-24 09:09:45.764000,vet1,2025-07-24 10:05:46.885999,vet1,35.113006904688184,33.05908676911401
764,A00538886,50.0,2025-07-17,https://www.gov.il/BlobFolder/reports/rabis-in-hod-hasharon-50-17-7-2025/he/rabis-in-hod-hasharon-report_50-date-17-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabis-in-hod-hasharon-50-17-7-2025/he/rabis-in-hod-hasharon-report_50-date-17-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",https://www.gov.il/BlobFolder/reports/rabis-in-hod-hasharon-50-17-7-2025/he/rabis-in-hod-hasharon-50-date-17-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabis-in-hod-hasharon-50-17-7-2025/he/rabis-in-hod-hasharon-50-date-17-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",2025,Dog,Hasharon,השרון,כלב,VII A,הוד השרון,Hod Hasharon,,,3c121d03-24e0-4672-813f-20ba3749794d,2025-07-20 08:37:35.446000,vet1,2025-07-20 08:37:35.446000,vet1,34.90741204924301,32.160360450603285
763,A00531140,49.0,2025-07-16,https://www.gov.il/BlobFolder/reports/rabies-in-shtulal-number-date-16-7-2025/he/rabies-in-shtulal-report_49_date-17-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabies-in-shtulal-number-date-16-7-2025/he/rabies-in-shtulal-report_49_date-17-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",https://www.gov.il/BlobFolder/reports/rabies-in-shtulal-number-date-16-7-2025/he/rabies-in-shtulal-number_49-date-17-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabies-in-shtulal-number-date-16-7-2025/he/rabies-in-shtulal-number_49-date-17-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",2025,Cat,Galil Golan,גליל גולן,חתול,VII B,שתולה,Shetula,,,4cd6914a-4f7b-43d8-b8d1-8a4cc48db586,2025-07-17 09:32:04.120999,vet1,2025-07-17 09:42:15.091000,vet1,35.311225507496125,33.08362944386163
760,538137A,48.0,2025-07-10,https://www.gov.il/BlobFolder/reports/rabies-in-alma-10-7-2025/he/rabies-in-alma-report-48-date-10-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabies-in-alma-10-7-2025/he/rabies-in-alma-report-48-date-10-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",https://www.gov.il/BlobFolder/reports/rabies-in-alma-10-7-2025/he/rabies-in-alma-number-48-date-10-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabies-in-alma-10-7-2025/he/rabies-in-alma-number-48-date-10-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",2025,Dog,Galil Golan,גליל גולן,כלב,VII B,עלמה,Alma,,,97b3daaa-6e32-434a-99f7-59cbb2f76e54,2025-07-16 09:01:50.464999,vet1,2025-07-16 09:38:47.854000,vet1,35.50173895239262,33.050418720470084
757,A00537928,47.0,2025-07-08,https://www.gov.il/BlobFolder/reports/rabies-in-shoham_47/he/rabies-in-shoam_report_47-date-08_07_2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabies-in-shoham_47/he/rabies-in-shoam_report_47-date-08_07_2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",https://www.gov.il/BlobFolder/reports/rabies-in-shoham_47/he/rabies-in-nahshonim_number_47-date-08_07_2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabies-in-shoham_47/he/rabies-in-nahshonim_number_47-date-08_07_2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",2025,Dog,Shfela Vahar,השפלה וההר,כלב,VII A,נחשונים,Nahshonim,,,07cd4a49-d1ec-4f89-827e-a600cfb0b183,2025-07-10 09:52:51.957999,vet1,2025-07-17 08:24:06.421999,vet1,34.936898216254946,32.06235976135203
755,A00537756,46.0,2025-07-07,https://www.gov.il/BlobFolder/reports/rabies-in-dalton_46/he/rabies-in-dalton_report_46-date-07_07_2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabies-in-dalton_46/he/rabies-in-dalton_report_46-date-07_07_2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",https://www.gov.il/BlobFolder/reports/rabies-in-dalton_46/he/rabies-in-daltonl-number-46-date-7-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/rabies-in-dalton_46/he/rabies-in-daltonl-number-46-date-7-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",2025,Cattle,Galil Golan,גליל גולן,בקר,VII B,דלתון,Dalton,,,9ad3be17-4978-4832-93aa-7c9c3127c10a,2025-07-08 09:27:29.954999,vet1,2025-07-16 09:32:10.477999,vet1,35.48631300524887,33.018644827552464
754,A00537165,44.0,2025-07-01,https://www.gov.il/BlobFolder/reports/shar-yeshuv_report_45-date-01_07_2025/he/rabies-in-shar-yeshuv_report_45-date-01_07_2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/shar-yeshuv_report_45-date-01_07_2025/he/rabies-in-shar-yeshuv_report_45-date-01_07_2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",https://www.gov.il/BlobFolder/reports/shar-yeshuv_report_45-date-01_07_2025/he/rabies-in-shaar%20ishuv-number-44-date-15-7-2025.pdf,"<a href=""https://www.gov.il/BlobFolder/reports/shar-yeshuv_report_45-date-01_07_2025/he/rabies-in-shaar%20ishuv-number-44-date-15-7-2025.pdf"" target=""_blank"" > לפתיחה לחץ כאן</a>",2025,Jackal,Galil Golan,גליל גולן,תן,VII B,שאר ישוב,She'Ar Yashuv,,,eafcaad2-6055-43c5-96b7-b92d762d0e57,2025-07-03 11:33:19.385999,vet1,2025-07-16 09:33:15.017999,vet1,35.646771100524894,33.22593365885458
