Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2005,Jul-Dec 2005,Europe,Albania,"Kukës","Rabies virus (Inf. with)","",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Europe,Albania,"Kukës","Rabies virus (Inf. with)","",Wild,"Wildlife (species unspecified)",-,-,-,232,Animal,2,0,0,2,232
2005,Jul-Dec 2005,Europe,Belarus,"Brest","Rabies virus (Inf. with)","",Both animal categories,"",-,-,24,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Europe,Belarus,"Brest","Rabies virus (Inf. with)","",Domestic,"Cats",-,-,-,-,Animal,2,0,0,2,-
2005,Jul-Dec 2005,Europe,Belarus,"Brest","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,-,Animal,1,0,0,1,-
2005,Jul-Dec 2005,Europe,Belarus,"Brest","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,-,Animal,1,0,0,1,-
2005,Jul-Dec 2005,Europe,Belarus,"Brest","Rabies virus (Inf. with)","",Wild,"Wildlife (species unspecified)",-,-,-,-,Animal,20,0,0,20,-
2005,Jul-Dec 2005,Europe,Belarus,"Gomel'","Rabies virus (Inf. with)","",Both animal categories,"",-,-,65,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Europe,Belarus,"Gomel'","Rabies virus (Inf. with)","",Domestic,"Cats",-,-,-,-,Animal,5,0,0,5,-
2005,Jul-Dec 2005,Europe,Belarus,"Gomel'","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,-,Animal,7,0,0,7,-
2005,Jul-Dec 2005,Europe,Belarus,"Gomel'","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,-,Animal,12,0,0,12,-
2005,Jul-Dec 2005,Europe,Belarus,"Gomel'","Rabies virus (Inf. with)","",Wild,"Wildlife (species unspecified)",-,-,-,-,Animal,41,0,0,41,-
2005,Jul-Dec 2005,Europe,Belarus,"Grodno","Rabies virus (Inf. with)","",Both animal categories,"",-,-,83,-,-,-,-,-,-,-
2005,Jul-Dec 2005,Europe,Belarus,"Grodno","Rabies virus (Inf. with)","",Domestic,"Cats",-,-,-,-,Animal,6,0,0,6,-
2005,Jul-Dec 2005,Europe,Belarus,"Grodno","Rabies virus (Inf. with)","",Domestic,"Cattle",-,-,-,-,Animal,4,0,0,4,-
2005,Jul-Dec 2005,Europe,Belarus,"Grodno","Rabies virus (Inf. with)","",Domestic,"Dogs",-,-,-,-,Animal,10,0,0,10,-
2005,Jul-Dec 2005,Europe,Belarus,"Grodno","Rabies virus (Inf. with)","",Domestic,"Equidae",-,-,-,-,Animal,1,0,0,1,-
